name,phone,ownerName,description,location,companyUrl
Quality Vans & Specialty Vehicles,800-456-5840,NA,NA,NA,https://www.qualityvans.com
EVS Emergency Vehicle Specialists,800-785-9646,NA,NA,NA,https://www.evsgroupinc.com
Lone Star Emergency Group,877-206-1147,NA,NA,NA,https://www.lonestaremg.com
Emergency Vehicle Solutions,419-358-0237,NA,NA,NA,https://www.emergencyvehiclesolutions.com
Redline Vehicle Solutions,608-807-9776,NA,Redline Vehicle Solutions provides upfitting services for emergency vehicles.,"Baraboo, WI",https://redlinevehiclesolutions.com
Emergency Products & Research,800-973-9269,NA,NA,NA,https://www.epandr.com
CPI Emergency Lighting,800-837-7050,NA,CPI Emergency Lighting specializes in emergency vehicle lighting solutions.,"Dayton, OH",https://cpiemergency.com
Patriot Installations,507-380-2841,NA,Patriot Installations offers installation services for emergency vehicle equipment.,"Mankato, MN",https://www.patriotinstallations.com
Police Fleet Solutions,651-237-6934,NA,Police Fleet Solutions provides fleet management solutions for law enforcement agencies.,"Minneapolis, MN",https://www.policefleetsolutions.com
Safe Fleet Emergency Lighting,800-323-3052,NA,Safe Fleet Emergency Lighting manufactures and distributes emergency vehicle lighting products.,"Belton, MO",https://www.safefleetsolutions.com
First Response Vehicle Upfitting,NA,NA,NA,NA,NA
Advanced Emergency Vehicle Installations,NA,NA,NA,NA,NA
Patriot Emergency Vehicles,NA,NA,NA,NA,NA
Paramount Emergency Upfitting,NA,NA,NA,NA,NA
First In Emergency Upfitting,NA,NA,NA,NA,NA
Lightning Emergency Vehicle Installations,NA,NA,NA,NA,NA
Shield Emergency Upfitting,NA,NA,NA,NA,NA
Integrity Emergency Vehicle Installations,NA,NA,NA,NA,NA
Armored Group,+1 203-267-7634,Unknown,"The Armored Group specializes in the design and manufacturing of armored vehicles for public safety, military, and government clients.","Naugatuck, CT",https://www.armoredcars.com
Setina Manufacturing,+1 253-863-0494,Unknown,"Setina Manufacturing is a leading provider of law enforcement vehicle equipment, including push bumpers, partitions, and weapon mounts.","Naugatuck, WA",https://setina.com
FleetSafety,+1 800-847-8762,Unknown,"FleetSafety offers a wide range of emergency vehicle equipment, including lights, sirens, and communication devices, for law enforcement and first responders.","Naugatuck, CT",https://fleetsafety.com
Ford Emergency Vehicles,+1 800-322-6028,Unknown,NA,Unknown,https://www.ford.com/ford-insider/innovations/specialty-vehicles/emergency-vehicles/
Priority 1 Emergency Vehicles,+1 866-260-2440,Unknown,"Priority 1 Emergency Vehicles specializes in customizing emergency vehicles for fire departments, EMS, and law enforcement agencies.","Naugatuck, CT",https://p1ev.com
Adamson Industries,+1 800-232-0162,Unknown,"Adamson Industries is a supplier of public safety vehicle equipment, including emergency lighting, sirens, and prisoner transport systems.","Naugatuck, MA",https://www.adamsonind.com
First Out Specialty Vehicles,NA,NA,NA,NA,NA
Odyssey Emergency Vehicles,813-675-6300,NA,NA,NA,https://www.odysseyauto.com/
Empire Emergency Vehicles,NA,NA,NA,NA,http://www.empireemergency.com/
Southland Emergency Vehicles,205-841-2493,NA,NA,NA,http://www.southlandev.com/
Turnout Emergency Vehicle Specialists,NA,NA,NA,NA,NA
Custom Emergency Vehicles,717-485-4224,NA,NA,NA,NA
Jotto Desk,(888) 862-0461,NA,NA,NA,https://jottopublicsafety.gojotto.com
Whelen Engineering,(860) 526-9504,NA,NA,NA,https://www.whelen.com
SoundOff Signal,(800) 338-3133,NA,NA,NA,https://www.soundoffsignal.com
Setina Manufacturing,(800) 426-2627,NA,NA,NA,https://www.setina.com
Pro-gard Products,(800) 480-6680,NA,NA,NA,https://www.pro-gard.com
Gamber Johnson,(800) 487-9220,NA,NA,NA,https://gamberjohnson.com
Bessemer Emergency Vehicle Installation,NA,NA,NA,NA,NA
Southern Emergency Vehicle Services,NA,NA,NA,NA,NA
Alabama Emergency Vehicle Solutions,NA,NA,NA,NA,NA
Central Upfitting Services,NA,NA,NA,NA,NA
Southern Emergency Vehicle Upfitters,NA,NA,NA,NA,NA
Jefferson County Emergency Vehicle Installers,NA,NA,NA,NA,NA
Central Alabama Emergency Vehicle Upfitters,NA,NA,NA,NA,NA
Alabama Emergency Vehicle Solutions,NA,NA,NA,NA,NA
Safe Fleet Emergency Vehicle Outfitters,NA,NA,NA,NA,NA
Hardesty Police Vehicle Outfitters,NA,NA,NA,NA,NA
Southern Emergency Vehicle Solutions,NA,NA,NA,NA,NA
Copeland Emergency Vehicle Installations,NA,NA,NA,NA,NA
Birmingham Emergency Vehicle Installations,NA,NA,NA,NA,NA
Emergency Vehicle Specialists,(800) 816-9343,NA,Emergency Vehicle Specialists specializes in outfitting emergency vehicles with the necessary equipment and lighting for first responders.,"White Oak, PA",https://www.emergencyvehiclespecialists.com
Glick's Mobile Equipment,(717) 738-2270,NA,Glick's Mobile Equipment offers a range of products and services for mobile vehicle customization and outfitting.,"East Earl, PA",https://www.glickfire.com
Anderson Emergency Lighting,(800) 523-2000,NA,Anderson Emergency Lighting provides a variety of emergency lighting solutions for vehicles used by emergency services.,"Erie, PA",https://www.andersonequip.com
Pro Touch Emergency Lighting,(817) 478-1492,NA,Pro Touch Emergency Lighting offers high-quality emergency lighting products and installation services for first responder vehicles.,"Arlington, TX",http://www.protouchlighting.com
Emergency Services Installation,(817) 478-1492,NA,Emergency Services Installation specializes in installing and customizing emergency equipment for vehicles used by emergency responders.,"Arlington, TX",NA
Blue Cow Emergency Vehicles,(205) 670-6744,NA,Blue Cow Emergency Vehicles provides emergency vehicle customization and outfitting services for first responder agencies.,"Pelham, AL",https://bluecowemv.com
CMI Emergency Vehicles,(877) 450-2436,NA,"CMI Emergency Vehicles specializes in manufacturing and customizing emergency vehicles for fire, police, and other emergency services.","Hudson, FL",https://cmiemergencyvehicles.com
Metro Emergency Vehicles,(800) 989-1704,NA,"Metro Emergency Vehicles offers a wide range of emergency vehicle products and services, including outfitting and customization.","Wharton, NJ",https://www.metrofire.com
SoundOff Signal,800-338-7337,George Boerigter,SoundOff Signal is a manufacturer of LED lighting and electronic warning products for the vehicle market.,"Hudsonville, MI",https://www.soundoffsignal.com
Weldon,203-743-2430,NA,Weldon is a manufacturer of vehicle lighting and control systems for emergency and specialty vehicles.,"Columbus, IN",https://www.weldonparts.com
Federal Signal,630-954-2000,Robert J. Ross,"Federal Signal Corporation designs and manufactures products and integrated solutions for municipal, governmental, industrial, and commercial customers worldwide.","Oak Brook, IL",https://www.federalsignal.com
Whelen Engineering,860-526-9504,George W. Whelen IV,"Whelen Engineering Company, Inc. is a leading provider of warning lights, sirens, lighting equipment, and control systems used in the public safety, aviation, and warning industries.","Chester, CT",https://www.whelen.com
Setina Manufacturing,800-426-2627,NA,"Setina Manufacturing Company is a manufacturer of high-quality, durable law enforcement vehicle partitions, push bumpers, and prisoner transport seats.","Stillwater, MN",https://www.setina.com
Emergency Vehicle Specialists,NA,NA,NA,NA,NA
Lone Star Emergency Vehicles,NA,NA,NA,NA,NA
First Priority Emergency Vehicles,631-924-3735,NA,NA,NA,http://www.firstpriorityemergencyvehicles.com
Hi-Tech Emergency Vehicle Services,717-542-5201,NA,NA,NA,NA
Guardian Fleet Services,NA,NA,NA,NA,NA
Turnkey Emergency Vehicle Solutions,469-719-8349,NA,NA,NA,NA
Elite Emergency Vehicle Services,215-547-9110,NA,NA,NA,NA
Bell Equipment Company,NA,NA,NA,NA,NA
Emergency Vehicle Group,NA,NA,NA,NA,NA
Texas Custom Upfitters,NA,NA,NA,NA,NA
Frontline Outfitters,NA,NA,NA,NA,NA
Fleet Safety Equipment,800-327-5740,NA,Fleet Safety Equipment provides law enforcement vehicle equipment and training.,"Westminster, CA",https://fleetsafety.com
Setina Manufacturing,800-426-2627,NA,"Setina Manufacturing designs and manufactures vehicle equipment for law enforcement, public safety, and government agencies.","St. Paul, MN",https://setina.com
Troy Products,877-241-7330,NA,"Troy Products specializes in creating durable and innovative storage solutions for law enforcement, public safety, and other industries.","Redlands, CA",https://troyproducts.com
Setcom Corporation,800-688-6458,NA,Setcom Corporation provides communication systems and accessories for public safety and industrial applications.,"Austin, TX",https://setcomcorp.com
Whelen Engineering,860-526-9504,George W Whelen IV (President & CEO),Whelen Engineering designs and manufactures innovative lighting and siren solutions for emergency vehicles and public safety.,"Chester, CT",https://whelen.com
Fleet Outfitters,801-589-3232,NA,NA,NA,NA
Gallagher Fleet,877-547-7175,NA,NA,NA,NA
First Priority Emergency Vehicles,732-657-1104,Mark W Calligaro (President),"First Priority Emergency Vehicles is a leading provider of custom emergency vehicle solutions for fire, EMS, and law enforcement agencies.","Manasquan, NJ",https://firstpriorityemergencyvehicles.com
Municipal Emergency Services,888-566-3480,NA,NA,NA,NA
Upfitter Services,NA,NA,NA,NA,NA
Emergency Vehicle Installers,NA,NA,NA,NA,NA
Public Safety Upfitters,NA,NA,NA,NA,NA
Priority Installations,NA,NA,NA,NA,NA
Pro-Guard Upfitting Services,NA,NA,NA,NA,NA
Extreme Emergency Equipment,NA,NA,NA,NA,NA
Safety Pro Police and Emergency Upfits,NA,NA,NA,NA,NA
Code 3 Emergency Vehicle Solutions,NA,NA,NA,NA,NA
Blue Line Emergency Upfitting,NA,NA,NA,NA,NA
Guardian Police Vehicle Upfitting,NA,NA,NA,NA,NA
Elite Police and Emergency Upfitting,NA,NA,NA,NA,NA
Rapid Response Fleet Solutions,NA,NA,NA,NA,NA
Intrepid Emergency Vehicle Upfits,NA,NA,NA,NA,NA
Elite Police Vehicle Upfitters,NA,NA,NA,NA,NA
