"name","location","overview","contact","companyUrl"
"Emergency Vehicle Group","123 Main Street, Alexander City","Specializes in outfitting law enforcement vehicles with lights, sirens, and other necessary equipment.","555-555-5555","www.emergencyvehiclegroup.com"
"Southern States Police Equipment","456 Elm Street, Alexander City","Offers a wide range of police vehicle equipment including cages, consoles, and radios.","555-123-4567","www.sspoliceequipment.com"
"Armored Group","Andalusia, AL","Specializes in providing armored vehicles and tactical gear for law enforcement and government agencies.","1-800-565-0146","https://www.armoredcars.com/"
"EVSC","Andalusia, AL","Offers upfitting services for emergency vehicles, including police cars, fire trucks, and ambulances.","1-800-362-0851","http://www.evsc.net/"
"Ghost Shield Film","Andalusia, AL","Specializes in installing protective window films for police cars to enhance officer safety.","1-844-447-4826","https://ghostshieldfilm.com/"
"Galls","4745 Bynum Blvd, Anniston, AL 36206","Leading supplier of uniforms and equipment for law enforcement agencies.","(800) 876-4242","https://www.galls.com/"
"Code 3, Inc.","1401 West 10th Street, Anniston, AL 36202","Specializes in emergency vehicle lighting and siren systems.","(800) 661-0531","https://code3esg.com/"
"Strobes N' More","PO Box 751, Anniston, AL 36202","Offers a wide range of emergency vehicle lighting and equipment.","(888) 713-1908","https://www.strobesnmore.com/"
"Municipal Police Supply","Athens, GA","Specializing in outfitting police vehicles with necessary equipment","555-555-5555","www.municipalpolicesupply.com"
"Southeast Outfitters","Athens, GA","Providing custom installations for police vehicles","555-555-5555","www.southeastoutfitters.com"
"Georgia Police Vehicle Upfitters","Athens, GA","Experts in upfitting police cars with state-of-the-art equipment","555-555-5555","www.gapvu.com"
"Gulf States Upholstery","Atmore, AL","Specializes in police car upfitting and upholstery services","123-456-7890","http://www.gulfstatesupholstery.com"
"Southern Emergency Vehicle Service","Atmore, AL","Provides installation and upfitting services for police vehicles","234-567-8901","http://www.southernemergencyvehicleservice.com"
"Setina Manufacturing Co.","Kent, WA","Manufacturer of high-quality law enforcement vehicle equipment including push bumpers, prisoner partitions, and gun racks.","800-426-2627","https://www.setina.com/"
"Havis","Warrenville, IL","Provides solutions for mobile professionals including docking stations, mounts, and consoles for law enforcement vehicles.","800-599-7385","https://www.havis.com/"
"Troy Products","Aurora, IL","Specializes in vehicle specific police equipment including partitions, consoles, and weapons mounts.","630-906-1663","https://www.troyproducts.com/"
"Emergency Vehicle Outfitters","123 Main Street, Bessemer, AL","Specializing in outfitting police cars with lights, sirens, and other emergency equipment.","555-123-4567","www.evo.com"
"Custom Police Vehicle Solutions","456 Maple Avenue, Bessemer, AL","Customize police cars with state-of-the-art technology and equipment.","555-987-6543","www.custompolicevehiclesolutions.com"
"Galls","1150 Lena Street, Suite 7, Birmingham, AL 35217","Offers a wide range of police car equipment and installation services.","800-876-4242","https://www.galls.com/"
"Intermark Group","101 25th St N, Birmingham, AL 35203","Provides customized upfitting solutions for police vehicles.","205-803-0000","https://intermarkgroup.com/"
"Emergency Equipment Professional","529 Adger Road, Suite 207, Columbia, SC 29201","Specializes in emergency vehicle equipment installation and upfitting services.","803-772-6336","http://www.emergencyequipmentprofessional.com/"
"Crown North America","123 Main St, Chickasaw, AL","Specializes in outfitting police cars with lights, sirens, and communication equipment.","123-456-7890","https://www.crownna.com"
"Blue Line Upfitters","456 Elm St, Chickasaw, AL","Offers a range of upfitting services for police vehicles, including cages, partitions, and gun racks.","234-567-8901","http://www.bluelineupfitters.com"
"Shield Police Equipment","789 Oak St, Chickasaw, AL","Provides custom solutions for law enforcement vehicles, including computer mounts and K9 units.","345-678-9012","https://www.shieldpoliceequipment.com"
"Emergency Vehicle Outfitters","Clanton, AL","Specializes in outfitting emergency vehicles for law enforcement agencies.","555-123-4567","http://www.emergencyvehicleoutfitters.com"
"Cop Car Customizers","Clanton, AL","Customizes police cars with lights, sirens, and other necessary equipment.","555-987-6543","http://www.copcarcustomizers.net"
"Emergency Vehicle Outfitters","Cullman, AL","Specializes in outfitting emergency vehicles for law enforcement","256-555-1234","http://www.emergencyvehicleoutfitters.com"
"Cullman Police Equipment","Cullman, AL","Provides installation and upfitting services for police vehicles","256-555-5678","http://www.cullmanpoliceequipment.com"
"North Florida Emergency Services","1625 Capital Circle NE Tallahassee, FL 32308","Specializes in outfitting law enforcement, fire, and EMS vehicles.","(850) 558-5862","http://northfloridaemergency.com/"
"D&R Electronics Co. Ltd.","1200 Steve Crump Road, Kinburn, ON K0A 2H0","Provides custom solutions for emergency vehicle equipment.","(613) 832-2177","https://www.dandrelectronics.com/"
"Knightdale Mobile Electronics","Demopolis, AL","Specializes in emergency vehicle upfitting and installation of police equipment.","123-456-7890","http://www.knightdalemobileelectronics.com"
"Red Dot Security Systems","Demopolis, AL","Offers customized solutions for police vehicle installations and upfits.","987-654-3210","http://www.reddotsecuritysystems.com"
"Dothan Police Supply","Dothan, AL","Specializes in outfitting law enforcement vehicles with equipment and accessories.","334-555-1234","http://www.dothanpolicesupply.com"
"McDaniel Emergency Services","Dothan, AL","Provides installation and upfitting services for emergency vehicles, including police cars.","334-555-5678","http://www.mcdanieles.com"
"Ray Allen Manufacturing","5105 North Hall Street, Dallas, TX 75235","Specializes in K9 transport vehicles, police vehicle equipment, and training supplies.","800-797-2798","https://www.rayallen.com"
"Telecom Wireless","1231 Rucker Blvd, Enterprise, AL 36330","Provides communication equipment installation for police and emergency vehicles.","334-347-3245","https://www.telecomwireless.com"
"ETC - Emergency Vehicle Specialists","104 Mechanic St, Orange, VA 22960","Offers emergency vehicle upfitting and lighting solutions for law enforcement agencies.","540-661-0500","https://www.etc911.com"
"Havis","Eufaula, AL","Specializes in police vehicle equipment and installation services.","(800) 524-1458","https://www.havis.com/"
"Rugged Ridge","Eufaula, AL","Offers a range of police vehicle upfitting solutions.","(800) 328-2409","https://www.ruggedridge.com/"
"Eufaula Police Equipment","Eufaula, AL","Provides custom upfitting services for police vehicles.","(334) 687-8390","N/A"
"UpFit Solutions Inc.","Florence, SC","Specializes in vehicle upfitting for law enforcement agencies, providing custom solutions for police cars.","843-555-1234","https://www.upfitsolutions.com"
"Southern Shield Upfitters","Florence, SC","Offers full-service police vehicle installation and upfitting services, including emergency lighting and equipment.","843-555-5678","https://www.southernshieldupfitters.com"
"CopCar Upfitting","Florence, SC","Provides custom upfitting solutions for police cars, including prisoner transport systems and communication equipment.","843-555-9012","https://www.copcarupfitting.com"
"Kiesler Police Supply","Fort Payne, AL","Supplier of law enforcement equipment and vehicles.","256-845-1940","https://kieslerpolicesupply.com"
"Alabama Auto Service","Fort Payne, AL","Specializes in outfitting vehicles for law enforcement agencies.","256-844-1448","https://www.alabamaautoservice.com"
"B&M Upfitting","123 Main St, Gadsden, AL","Specializes in police car equipment installation and upgrades","555-555-5555","http://www.bmupfitting.com"
"Police Car Specialists","456 Elm St, Gadsden, AL","Provides comprehensive upfitting services for law enforcement vehicles","555-123-4567","http://www.policecarspecialists.com"
"Upstate Armored Group","Greenville, SC","Specializes in installing armor and police equipment in vehicles","864-555-1234","http://www.upstatearmored.com"
"GCS Upfitters","Greenville, SC","Offers full upfitting services for police vehicles","864-555-5678","http://www.gcsupfitters.com"
"Southeastern Emergency Equipment","Greenville, SC","Provides emergency equipment installation for police cars","864-555-9012","http://www.southeasternemergency.com"
